X1,X2,X3,X4,y,y_rbf,y_poly
0.2000000000,0.5000000000,0.2000000000,0.5000000000,0.7244530091,0.8072428713,0.8304529122
0.2000000000,0.6000000000,0.2000000000,0.6000000000,0.7366687960,0.8286079185,0.8286847794
0.2000000000,0.7000000000,0.2000000000,0.7000000000,0.8396756452,0.8559335484,0.8262411094
0.2000000000,0.8000000000,0.2000000000,0.8000000000,0.9015690492,0.8877244606,0.8231539058
0.2000000000,0.9000000000,0.2000000000,0.9000000000,0.9192624036,0.9225147949,0.8195727290
0.3000000000,0.0000000000,0.3000000000,0.0000000000,0.9525162891,0.8478894855,0.8334129144
0.3000000000,0.1000000000,0.3000000000,0.1000000000,0.9104502823,0.8147766394,0.8333783123
0.3000000000,0.2000000000,0.3000000000,0.2000000000,0.8253175962,0.7938437018,0.8331931745
0.3000000000,0.3000000000,0.3000000000,0.3000000000,0.8063471753,0.7842610621,0.8326263998
0.3000000000,0.4000000000,0.3000000000,0.4000000000,0.8383348400,0.7849771998,0.8313788772
0.3000000000,0.5000000000,0.3000000000,0.5000000000,0.7840602766,0.7947625230,0.8291122330
0.3000000000,0.6000000000,0.3000000000,0.6000000000,0.8118908592,0.8122577692,0.8254775764
0.3000000000,0.7000000000,0.3000000000,0.7000000000,0.8746734701,0.8360249672,0.8201442464
0.3000000000,0.8000000000,0.3000000000,0.8000000000,0.8814564930,0.8645988989,0.8128285579
0.3000000000,0.9000000000,0.3000000000,0.9000000000,0.9035107056,0.8965370362,0.8033225482
0.4000000000,0.0000000000,0.4000000000,0.0000000000,0.9357870236,0.8706145429,0.8362467880
0.4000000000,0.1000000000,0.4000000000,0.1000000000,0.9092869243,0.8335505818,0.8361668853
0.4000000000,0.2000000000,0.4000000000,0.2000000000,0.8989966674,0.8086564490,0.8358429149
0.4000000000,0.3000000000,0.4000000000,0.3000000000,0.8958361436,0.7951529510,0.8349197503
0.4000000000,0.4000000000,0.4000000000,0.4000000000,0.8770713787,0.7920372554,0.8329324219
0.4000000000,0.5000000000,0.4000000000,0.5000000000,0.8616759279,0.7981257225,0.8293348622
0.4000000000,0.6000000000,0.4000000000,0.6000000000,0.8789418314,0.8121013897,0.8235286533
0.4000000000,0.7000000000,0.4000000000,0.7000000000,0.8815943214,0.8325641308,0.8148917725
0.4000000000,0.8000000000,0.4000000000,0.8000000000,0.8097730839,0.8580814520,0.8028073393
0.4000000000,0.9000000000,0.4000000000,0.9000000000,0.8683105837,0.8872379151,0.7866923611
0.5000000000,0.0000000000,0.5000000000,0.0000000000,0.9225083040,0.9028946302,0.8438703072
0.5000000000,0.1000000000,0.5000000000,0.1000000000,0.8762347874,0.8627357858,0.8437070268
0.5000000000,0.2000000000,0.5000000000,0.2000000000,0.8485576646,0.8346597457,0.8431835447
0.5000000000,0.3000000000,0.5000000000,0.3000000000,0.8783535028,0.8179324608,0.8418032028
0.5000000000,0.4000000000,0.5000000000,0.4000000000,0.9116993174,0.8115959996,0.8389176651
0.5000000000,0.5000000000,0.5000000000,0.5000000000,0.9007595150,0.8145103599,0.8337556645
0.5000000000,0.6000000000,0.5000000000,0.6000000000,0.8817654367,0.8253999835,0.8254517484
0.5000000000,0.7000000000,0.5000000000,0.7000000000,0.8666730604,0.8429030286,0.8130750262
0.5000000000,0.8000000000,0.5000000000,0.8000000000,0.8625619099,0.8656213859,0.7956579146
0.5000000000,0.9000000000,0.5000000000,0.9000000000,0.8718732065,0.8921694511,0.7722248847
0.6000000000,0.0000000000,0.6000000000,0.0000000000,0.9222422305,0.9414852278,0.8607465508
0.6000000000,0.1000000000,0.6000000000,0.1000000000,0.8687605680,0.8991027998,0.8604430238
0.6000000000,0.2000000000,0.6000000000,0.2000000000,0.8263245154,0.8686517052,0.8596392855
0.6000000000,0.3000000000,0.6000000000,0.3000000000,0.8556925051,0.8494373527,0.8576796391
0.6000000000,0.4000000000,0.6000000000,0.4000000000,0.9120242266,0.8405423754,0.8537148758
0.6000000000,0.5000000000,0.6000000000,0.5000000000,0.8984010284,0.8408674194,0.8467310216
0.6000000000,0.6000000000,0.6000000000,0.6000000000,0.8776238703,0.8491766535,0.8355780829
0.6000000000,0.7000000000,0.6000000000,0.7000000000,0.8603749433,0.8641460843,0.8189987939
0.6000000000,0.8000000000,0.6000000000,0.8000000000,0.8549262253,0.8844126963,0.7956573622
0.6000000000,0.9000000000,0.6000000000,0.9000000000,0.8646868249,0.9086224559,0.7641682154
0.7000000000,0.0000000000,0.7000000000,0.0000000000,0.9352208054,0.9831139666,0.8935157092
0.7000000000,0.1000000000,0.7000000000,0.1000000000,0.8956550238,0.9393760128,0.8929922405
0.7000000000,0.2000000000,0.7000000000,0.2000000000,0.8616491618,0.9073666760,0.8918034013
